,Eads pred (eV),Elements
315,-2.475374937057495,Ru_Rh
316,-3.4387259483337402,Ru_Rh
317,-4.445794105529785,Ru_Rh
318,-3.3794078826904297,Ru_Rh
319,-2.3503525257110596,Ru_Rh
320,-3.790963888168335,Ru_Rh
321,-4.202531814575195,Ru_Rh
322,-3.86849308013916,Ru_Rh
323,-3.743319034576416,Ru_Rh
324,-3.383716106414795,Ru_Rh
325,-2.6994118690490723,Ru_Rh
326,-3.4971137046813965,Ru_Rh
327,-4.5737175941467285,Ru_Rh
328,-3.5238285064697266,Ru_Rh
329,-2.6485958099365234,Ru_Rh
330,-3.0531845092773438,Ru_Rh
331,-3.0492095947265625,Ru_Rh
332,-2.407921552658081,Ru_Rh
333,-3.4594268798828125,Ru_Rh
334,-3.205770969390869,Ru_Rh
335,-2.5877184867858887,Ru_Rh
336,-3.7803170680999756,Ru_Rh
337,-4.184786796569824,Ru_Rh
338,-3.3559932708740234,Ru_Rh
339,-3.2871222496032715,Ru_Rh
340,-2.708508253097534,Ru_Rh
341,-3.91465425491333,Ru_Rh
342,-3.6093320846557617,Ru_Rh
343,-3.4032866954803467,Ru_Rh
344,-3.7365996837615967,Ru_Rh
345,-3.4100236892700195,Ru_Rh
346,-3.350738286972046,Ru_Rh
347,-2.740931272506714,Ru_Rh
348,-3.1609835624694824,Ru_Rh
349,-3.4399843215942383,Ru_Rh
350,-3.795818328857422,Ru_Rh
351,-3.360869884490967,Ru_Rh
352,-3.339066743850708,Ru_Rh
353,-3.256255865097046,Ru_Rh
354,-3.415977954864502,Ru_Rh
355,-2.399355411529541,Ru_Rh
356,-2.3934736251831055,Ru_Rh
357,-3.4667418003082275,Ru_Rh
358,-3.741135358810425,Ru_Rh
359,-4.550722599029541,Ru_Rh
360,-3.270843505859375,Ru_Rh
361,-3.0562522411346436,Ru_Rh
362,-3.5184128284454346,Ru_Rh
363,-3.3056745529174805,Ru_Rh
364,-2.5132699012756348,Ru_Rh
365,-2.6189494132995605,Ru_Rh
366,-2.7084498405456543,Ru_Rh
367,-3.04685115814209,Ru_Rh
368,-3.2604949474334717,Ru_Rh
369,-4.06807804107666,Ru_Rh
370,-3.4196693897247314,Ru_Rh
371,-4.6978607177734375,Ru_Rh
372,-2.7748053073883057,Ru_Rh
373,-3.2647147178649902,Ru_Rh
374,-4.209918975830078,Ru_Rh
375,-3.122042179107666,Ru_Rh
376,-2.5804672241210938,Ru_Rh
377,-4.192965984344482,Ru_Rh
378,-4.1832275390625,Ru_Rh
379,-2.6510496139526367,Ru_Rh
380,-3.234929084777832,Ru_Rh
381,-2.145519971847534,Ru_Rh
382,-3.965254068374634,Ru_Rh
383,-3.2216029167175293,Ru_Rh
384,-4.03124475479126,Ru_Rh
385,-2.332901954650879,Ru_Rh
386,-2.8165698051452637,Ru_Rh
387,-3.341742992401123,Ru_Rh
388,-3.873049020767212,Ru_Rh
389,-3.1258132457733154,Ru_Rh
390,-4.137025356292725,Ru_Rh
391,-3.2038564682006836,Ru_Rh
392,-2.625119209289551,Ru_Rh
393,-3.1442508697509766,Ru_Rh
394,-3.183842897415161,Ru_Rh
395,-2.7234179973602295,Ru_Rh
396,-3.6580207347869873,Ru_Rh
397,-2.8714711666107178,Ru_Rh
398,-3.824129343032837,Ru_Rh
399,-4.255218505859375,Ru_Rh
400,-4.002172470092773,Ru_Rh
401,-3.3428144454956055,Ru_Rh
402,-2.6964199542999268,Ru_Rh
403,-3.96586275100708,Ru_Rh
404,-2.9748833179473877,Ru_Rh
405,-3.127657413482666,Ru_Rh
406,-4.355878829956055,Ru_Rh
407,-4.2697272300720215,Ru_Rh
408,-3.858684778213501,Ru_Rh
409,-3.031609058380127,Ru_Rh
410,-3.2233567237854004,Ru_Rh
411,-2.634291172027588,Ru_Rh
412,-3.900099754333496,Ru_Rh
413,-3.2667272090911865,Ru_Rh
414,-3.6911706924438477,Ru_Rh
415,-4.327605724334717,Ru_Rh
416,-3.488410472869873,Ru_Rh
417,-4.099628925323486,Ru_Rh
418,-3.936115264892578,Ru_Rh
419,-2.3215479850769043,Ru_Rh
420,-3.2171010971069336,Ru_Rh
421,-4.0554280281066895,Ru_Rh
422,-3.3843445777893066,Ru_Rh
423,-3.0125534534454346,Ru_Rh
424,-3.204791784286499,Ru_Rh
425,-4.270352363586426,Ru_Rh
426,-3.971165418624878,Ru_Rh
427,-3.382270336151123,Ru_Rh
428,-2.9324140548706055,Ru_Rh
429,-3.9341397285461426,Ru_Rh
430,-2.3282723426818848,Ru_Rh
431,-3.688509941101074,Ru_Rh
432,-4.11714506149292,Ru_Rh
433,-2.6388916969299316,Ru_Rh
434,-2.5631628036499023,Ru_Rh
435,-4.074728965759277,Ru_Rh
436,-3.3319613933563232,Ru_Rh
437,-3.281524658203125,Ru_Rh
438,-2.69636607170105,Ru_Rh
439,-2.648876667022705,Ru_Rh
440,-3.7079575061798096,Ru_Rh
441,-2.5935442447662354,Ru_Rh
442,-2.697524070739746,Ru_Rh
443,-3.2285914421081543,Ru_Rh
444,-3.11618709564209,Ru_Rh
445,-3.527848720550537,Ru_Rh
446,-3.216779947280884,Ru_Rh
447,-2.5858325958251953,Ru_Rh
448,-3.903710126876831,Ru_Rh
449,-3.210503578186035,Ru_Rh
450,-3.1082756519317627,Ru_Rh
451,-3.2171554565429688,Ru_Rh
452,-3.749086618423462,Ru_Rh
453,-3.417525053024292,Ru_Rh
454,-3.4718992710113525,Ru_Rh
455,-3.952526092529297,Ru_Rh
456,-3.1969799995422363,Ru_Rh
457,-4.028316974639893,Ru_Rh
458,-4.0049848556518555,Ru_Rh
459,-4.4622015953063965,Ru_Rh
460,-3.758127212524414,Ru_Rh
461,-4.073261260986328,Ru_Rh
462,-3.8207101821899414,Ru_Rh
463,-2.6263744831085205,Ru_Rh
464,-3.6206421852111816,Ru_Rh
465,-3.558465003967285,Ru_Rh
466,-3.8857879638671875,Ru_Rh
467,-3.3716983795166016,Ru_Rh
468,-2.662558078765869,Ru_Rh
469,-3.3123340606689453,Ru_Rh
470,-3.671088695526123,Ru_Rh
471,-3.450410842895508,Ru_Rh
472,-3.5569660663604736,Ru_Rh
473,-3.2159037590026855,Ru_Rh
474,-4.620418071746826,Ru_Rh
475,-3.811192274093628,Ru_Rh
476,-3.2377963066101074,Ru_Rh
477,-2.5277953147888184,Ru_Rh
478,-3.7514772415161133,Ru_Rh
479,-3.2001380920410156,Ru_Rh
480,-4.462693691253662,Ru_Rh
481,-2.092808723449707,Ru_Rh
482,-3.660771608352661,Ru_Rh
483,-3.8670132160186768,Ru_Rh
484,-2.7386012077331543,Ru_Rh
485,-3.2383971214294434,Ru_Rh
486,-2.846221923828125,Ru_Rh
487,-3.8328769207000732,Ru_Rh
488,-3.2539846897125244,Ru_Rh
489,-3.7501120567321777,Ru_Rh
490,-2.4738526344299316,Ru_Rh
491,-3.6771888732910156,Ru_Rh
492,-2.697524070739746,Ru_Rh
493,-4.132856845855713,Ru_Rh
494,-2.448152780532837,Ru_Rh
495,-3.6541638374328613,Ru_Rh
496,-3.4363338947296143,Ru_Rh
497,-2.1562137603759766,Ru_Rh
498,-3.2483811378479004,Ru_Rh
499,-3.6384830474853516,Ru_Rh
500,-4.720095634460449,Ru_Rh
501,-4.116925239562988,Ru_Rh
502,-3.262972116470337,Ru_Rh
503,-3.0925190448760986,Ru_Rh
504,-2.697524070739746,Ru_Rh
505,-3.2127654552459717,Ru_Rh
506,-4.416043758392334,Ru_Rh
507,-3.4578046798706055,Ru_Rh
508,-3.2249879837036133,Ru_Rh
509,-3.6886966228485107,Ru_Rh
510,-3.9120943546295166,Ru_Rh
511,-2.7879245281219482,Ru_Rh
512,-3.4752357006073,Ru_Rh
513,-3.5088672637939453,Ru_Rh
514,-3.197622537612915,Ru_Rh
515,-3.972547769546509,Ru_Rh
516,-4.026076316833496,Ru_Rh
517,-3.1236348152160645,Ru_Rh
518,-3.283660411834717,Ru_Rh
519,-3.21185040473938,Ru_Rh
520,-4.245264530181885,Ru_Rh
521,-3.8778412342071533,Ru_Rh
522,-3.4445366859436035,Ru_Rh
523,-4.021677494049072,Ru_Rh
524,-2.3567025661468506,Ru_Rh
525,-3.9440813064575195,Ru_Rh
526,-3.781315803527832,Ru_Rh
527,-4.104891777038574,Ru_Rh
528,-3.4443492889404297,Ru_Rh
529,-2.377143383026123,Ru_Rh
530,-3.5628907680511475,Ru_Rh
531,-4.100534439086914,Ru_Rh
532,-3.317460298538208,Ru_Rh
533,-3.451564311981201,Ru_Rh
534,-3.3716983795166016,Ru_Rh
535,-3.430811882019043,Ru_Rh
536,-3.2624030113220215,Ru_Rh
537,-4.571764945983887,Ru_Rh
538,-2.6837844848632812,Ru_Rh
539,-2.5766217708587646,Ru_Rh
540,-3.477869749069214,Ru_Rh
541,-3.4127578735351562,Ru_Rh
542,-4.015262603759766,Ru_Rh
543,-3.305643081665039,Ru_Rh
544,-3.378498077392578,Ru_Rh
545,-3.283660411834717,Ru_Rh
546,-3.183300495147705,Ru_Rh
547,-3.946472406387329,Ru_Rh
548,-3.194997787475586,Ru_Rh
549,-3.309540033340454,Ru_Rh
550,-3.7735986709594727,Ru_Rh
551,-3.481349229812622,Ru_Rh
552,-3.914703845977783,Ru_Rh
553,-3.3950955867767334,Ru_Rh
554,-3.559262275695801,Ru_Rh
555,-3.3693549633026123,Ru_Rh
556,-2.5912551879882812,Ru_Rh
557,-3.8025927543640137,Ru_Rh
558,-3.972177505493164,Ru_Rh
559,-4.431682586669922,Ru_Rh
560,-3.3243627548217773,Ru_Rh
561,-2.697524070739746,Ru_Rh
562,-4.075986385345459,Ru_Rh
563,-2.479039192199707,Ru_Rh
